id,Scientific Name,Common Name,Maturity,Watering Preference
1,Ficus benghalensis,Ficus Audrey,Adult,7
2,Musa acuminata,Dwarf Banana Tree,Adult,7
3,Alocasia odora variegata,Elephant Ears,Juvenile,7
4,Ficus elastica 'Tineke',Rubber Tree,Juvenile,7
5,Ficus lyrata,Fiddle-Leaf Fig,Adut,7
6,Pilea Peperomiodes,Friendship Plant,Juvenile,10
7,Maranta leuconeura 'Kerchoviana',Rabbit's Foot,Adult,4
8,Anthurium regale,Laceleaf,Juvenile,4
9,Monstera deliciosa 'Albo Variegata',Hawaiian Shirt,Juvenile,7
10,Begonia 'Lois Burke',Dragon Wing Begonia,Adult,10
11,Begonia maculata,Angel Wing Begonia,Juvenile,10
12,Epiprenem aurem,Golden+Snow Queen Pothos,Juvenile,7
13,Maranta leuconeura 'Red',Prayer Plant,Juvenile,4
14,Ficus elastica 'Ruby',Rubber Tree,Juvenile,7
15,Maranta leuconeura 'Lemon Lime',Prayer Plant,Baby,4
16,Peperomia obtusifolia,Dr. Seuss Plant,Mature,10
17,Philodendron verrucosum 'mini',Dwarf Ecuador Philodendron,Baby,7
18,Saintpaulia,Violet,Adult,0
19,Monstera adansonii,Swiss Cheese Plant,Juvenile,7
20,Philodendron 'El Choco',Chocolate Plant,Baby,4
21,Scindapsus pictus 'Argyraeus',Silver Pothos,Adult,7
22,Alocasia odora variegata,Elephant Ears,Mature,7
23,Anthurium clarinervium,Queen Anthurium,Juvenile,4
24,Anthurium clarinervium,Queen Anthurium,Baby,4
25,Anthurium clarinervium,Queen Anthurium,Baby,4
26,Anthurium dorayaki,Crystal Hope,Baby,4
27,Anthurium crystallinum,Crystal Laceleaf,Baby,4
28,Anthurium clarinervium,Queen Anthurium,Baby,4
29,Anthurium regale+magnificum,Regal Anthurium,Juvenile,4
30,Anthurium magnificum,Velvet Anthurium,Juvenile,4
31,Anthurium magnificum,Velvet Anthurium,Adult,4
32,Anthurium clarinervium,Queen Anthurium,Adult,4
33,Anthurium crystallinum,Crystal Laceleaf,Juvenile,4
34,Monstera deliciosa 'Albo Variegata',Hawaiian Shirt,Juvenile,7
35,Ludisia discolor,Black Jewel Orchid,Juvenile,4
36,Philodendron erubescens,Philodendron Pink Princess,Baby,7
37,Ceropegia woodii variegata,String of Hearts,Juvenile,10
38,Ceropegia woodii variegata,String of Hearts,Baby,10
39,Begonia maculata,Angel Wing Begonia,Baby,10
40,Scindapsus pictus 'Silver Lady',Silver Pothos,Baby,7
41,Peperomia prostrata,String of Turtles,Juvenile,7
42,Philodendron micans,Sweetheart Plant,Baby,7
43,Peperomia prostrata,String of Turtles,Baby,7
44,Rhaphidophora tetrasperma,Mini Monstera,Baby,10
45,Macodes petola,Lightning Jewel Orchid,Baby,4
46,Macodes petola,Lightning Jewel Orchid,Baby,4
47,Macodes petola,Lightning Jewel Orchid,Baby,4
48,Macodes petola,Lightning Jewel Orchid,Baby,4
49,Ludisia discolor,Black Jewel Orchid,Baby,4
50,Pilea cadieri,Aluminum Plant,Juvenile,4
51,Peperomia prostrata,String of Turtles,Juvenile,7
52,Calathea makoyana,Peacock Plant,Juvenile,4
53,Philodendron Verrucosum x Melanochrysum,Philodendron Splendid,Baby,4
54,Calathea ornata,Pinstripe Prayer Plant,Adult,4
55,Oxalis regnelli,Purple Shamrocks,Adult,10
56,Pilea peperomiodes,Friendship Plant,Adult,10
57,Ficus elastica 'Ruby',Rubber Tree,Juvenile,7
58,Monstera deliciosa,Hawaiian Shirt,Mature,7
59,Monstera deliciosa,Hawaiian Shirt,Mature,7
60,Alocasia 'Regal Shields',African Mask Plant,Mature,7
61,Ficus elastica 'Burgundy',Rubber Tree,Mature,7
62,Ficus lyrata,Fiddle-Leaf Fig,Mature,7
63,Ceropegia woodii,String of Hearts,Mature,10
64,Ceropegia woodii,String of Hearts,Adult,10
65,Zamioculcas zamiifoli,ZZ Plant,Mature,14
66,Zamioculcas zamiifoli,ZZ Plant,Adult,14
67,Zamioculcas zamiifoli,ZZ Plant,Juvenile,14
68,Zamioculcas zamiifoli,ZZ Plant,Juvenile,14
69,Aeschynanthus longicaulis,Black Pagoda Lipstick Plant,Adult,10
70,"Adenium ‘Swan and Dragon’
",Desert Rose,Juvenile,14
71,Begonia fibrous 'My Special Angel',Angel Wing Begonia,Juvenile,10
72,Begonia fibrous 'Whimsy',Angel Wing Begonia,Juvenile,10
73,Philodendron verrucosum,Ecuador Philodendron,Juvenile,7